2L	50000	0
2L	150000	0
2L	250000	0
2L	350000	0.235
2L	450000	0.235
2L	550000	1.994
2L	650000	1.407
2L	750000	1.055
2L	850000	2.346
2L	950000	3.049
2L	1050000	3.401
2L	1150000	2.815
2L	1250000	3.636
2L	1350000	1.759
2L	1450000	0.704
2L	1550000	2.463
2L	1650000	2.932
2L	1750000	2.228
2L	1850000	1.759
2L	1950000	5.395
2L	2050000	2.463
2L	2150000	1.642
2L	2250000	3.636
2L	2350000	1.642
2L	2450000	4.691
2L	2550000	2.58
2L	2650000	2.58
2L	2750000	5.746
2L	2850000	2.228
2L	2950000	0.938
2L	3050000	1.055
2L	3150000	6.919
2L	3250000	2.346
2L	3350000	2.346
2L	3450000	5.043
2L	3550000	4.222
2L	3650000	1.876
2L	3750000	3.636
2L	3850000	7.506
2L	3950000	7.388
2L	4050000	6.685
2L	4150000	3.636
2L	4250000	7.271
2L	4350000	5.746
2L	4450000	4.105
2L	4550000	1.876
2L	4650000	1.759
2L	4750000	5.16
2L	4850000	9.499
2L	4950000	6.333
2L	5050000	5.512
2L	5150000	3.518
2L	5250000	7.037
2L	5350000	1.876
2L	5450000	3.166
2L	5550000	4.222
2L	5650000	2.111
2L	5750000	1.29
2L	5850000	1.525
2L	5950000	2.228
2L	6050000	2.346
2L	6150000	1.29
2L	6250000	4.574
2L	6350000	3.049
2L	6450000	3.987
2L	6550000	3.401
2L	6650000	3.753
2L	6750000	1.525
2L	6850000	3.518
2L	6950000	1.876
2L	7050000	10.203
2L	7150000	3.987
2L	7250000	2.697
2L	7350000	2.463
2L	7450000	1.642
2L	7550000	2.58
2L	7650000	2.111
2L	7750000	2.346
2L	7850000	1.525
2L	7950000	8.678
2L	8050000	3.987
2L	8150000	6.216
2L	8250000	3.284
2L	8350000	3.284
2L	8450000	2.346
2L	8550000	4.808
2L	8650000	3.401
2L	8750000	1.407
2L	8850000	2.815
2L	8950000	4.222
2L	9050000	1.525
2L	9150000	2.346
2L	9250000	2.463
2L	9350000	0.117
2L	9450000	2.346
2L	9550000	4.926
2L	9650000	3.166
2L	9750000	4.339
2L	9850000	5.395
2L	9950000	1.525
2L	10050000	8.092
2L	10150000	9.499
2L	10250000	6.567
2L	10350000	3.636
2L	10450000	3.284
2L	10550000	3.87
2L	10650000	2.815
2L	10750000	3.401
2L	10850000	2.697
2L	10950000	2.932
2L	11050000	3.987
2L	11150000	2.111
2L	11250000	1.876
2L	11350000	2.346
2L	11450000	1.173
2L	11550000	0.938
2L	11650000	1.407
2L	11750000	1.407
2L	11850000	1.994
2L	11950000	2.228
2L	12050000	2.932
2L	12150000	4.222
2L	12250000	7.623
2L	12350000	2.111
2L	12450000	1.759
2L	12550000	5.16
2L	12650000	7.506
2L	12750000	3.049
2L	12850000	1.994
2L	12950000	1.29
2L	13050000	2.932
2L	13150000	5.043
2L	13250000	0.938
2L	13350000	0.821
2L	13450000	1.876
2L	13550000	3.636
2L	13650000	1.994
2L	13750000	3.987
2L	13850000	2.228
2L	13950000	1.642
2L	14050000	3.166
2L	14150000	1.876
2L	14250000	1.994
2L	14350000	1.642
2L	14450000	6.216
2L	14550000	1.173
2L	14650000	3.753
2L	14750000	1.055
2L	14850000	1.642
2L	14950000	1.173
2L	15050000	1.173
2L	15150000	0.938
2L	15250000	3.753
2L	15350000	1.642
2L	15450000	1.525
2L	15550000	0.586
2L	15650000	2.111
2L	15750000	1.055
2L	15850000	0.235
2L	15950000	0.821
2L	16050000	0.469
2L	16150000	0.704
2L	16250000	1.525
2L	16350000	3.518
2L	16450000	3.987
