read_name	chromosome	breakpoint_left	breakpoint_right
m54284U_210114_191447/170852903/85541_114907	CM010576.1	282220	294369
m54284U_210114_191447/170852903/56424_85498	CM010576.1	294369	294397
m54284U_210115_155325/119277111/122547_155003	CM010576.1	3034037	3034233
m54284U_210114_191447/101974303/0_38499	CM010576.1	3196003	3197090
m54284U_210114_191447/153291614/7773_70365	CM010576.1	3386248	3386381
m54284U_210114_191447/68291397/88467_134635	CM010576.1	3712297	3713544
m54284U_210114_191447/68291397/30036_88419	CM010576.1	3713133	3713389
m54284U_210115_155325/19728783/0_69801	CM010576.1	4153687	4154656
m54284U_210115_155325/168495559/14226_38917	CM010576.1	4191236	4191466
m54284U_210114_191447/148638253/0_41184	CM010576.1	4237654	4238107
m54284U_210115_155325/66716200/81899_141471	CM010576.1	4318284	4318403
m54284U_210114_191447/46139364/0_30377	CM010576.1	4562299	4562474
m54284U_210114_191447/139463316/0_39618	CM010576.1	4607889	4622873
m54284U_210115_155325/95945230/0_73013	CM010576.1	4660108	4660322
m54284U_210114_191447/30605999/0_26748	CM010576.1	4662650	4662864
m54284U_210115_155325/20187300/68174_142194	CM010576.1	4694757	4695242
m54284U_210115_155325/20187300/0_68129	CM010576.1	4695014	4695092
m54284U_210114_191447/69468591/0_12526	CM010576.1	4699477	4699576
m54284U_210114_191447/147653889/24322_37625	CM010576.1	4715251	4716148
m54284U_210115_155325/85525697/10374_35903	CM010576.1	4715613	4715929
m54284U_210114_191447/105185448/121489_159392	CM010576.1	4847202	4847686
m54284U_210114_191447/105185448/80874_121439	CM010576.1	4847202	4847686
m54284U_210114_191447/105185448/4066_40362	CM010576.1	4847673	4847686
m54284U_210114_191447/105185448/40409_80826	CM010576.1	4847673	4847686
m54284U_210115_155325/8456552/46564_106413	CM010576.1	4962018	4962061
m54284U_210114_191447/109972113/0_59214	CM010576.1	5113209	5113580
m54284U_210114_191447/157024262/18074_50962	CM010576.1	5137809	5138110
m54284U_210114_191447/110103009/0_66247	CM010576.1	5362220	5363531
m54284U_210114_191447/72810948/22021_75928	CM010576.1	5510603	5512114
m54284U_210115_155325/140640830/3190_83295	CM010576.1	5611571	5611601
m54284U_210115_155325/46531630/172844_217948	CM010576.1	5736884	5737152
m54284U_210115_155325/173343448/3044_16725	CM010576.1	5794954	5795468
m54284U_210115_155325/127730263/24825_95898	CM010576.1	6024375	6025176
m54284U_210114_191447/83429500/0_63870	CM010576.1	6387367	6388473
m54284U_210114_191447/150997442/0_93451	CM010576.1	6418502	6418610
m54284U_210114_191447/50202808/122443_133943	CM010576.1	6450808	6453845
m54284U_210114_191447/165414621/841_40983	CM010576.1	6450808	6453845
m54284U_210114_191447/47514587/63797_95209	CM010576.1	6682475	6683375
m54284U_210115_155325/73204730/86556_138693	CM010576.1	6682475	6683357
m54284U_210114_191447/47514587/95254_126001	CM010576.1	6683375	6683429
m54284U_210114_191447/123864696/52618_89801	CM010576.1	6711536	6711911
m54284U_210114_191447/123864696/89846_126022	CM010576.1	6711536	6711911
m54284U_210114_191447/52628088/0_38445	CM010576.1	6814672	6814812
m54284U_210114_191447/52628088/38485_80383	CM010576.1	6814672	6815713
m54284U_210114_191447/52628088/121707_164158	CM010576.1	6814672	6815713
m54284U_210114_191447/52628088/80424_121664	CM010576.1	6815120	6815121
m54284U_210114_191447/169477419/0_30169	CM010576.1	7335506	7339133
m54284U_210114_191447/147196648/9557_44831	CM010576.1	7503834	7505145
m54284U_210115_155325/104597767/76401_93118	CM010576.1	7956950	7957416
m54284U_210114_191447/138479568/0_53753	CM010576.1	8112758	8112959
m54284U_210115_155325/7144873/4498_40147	CM010576.1	8113373	8113893
m54284U_210114_191447/179243206/0_43291	CM010576.1	8187351	8188403
m54284U_210115_155325/13108065/51174_88849	CM010576.1	8229033	8232177
m54284U_210115_155325/13108065/18358_51128	CM010576.1	8229033	8232177
m54284U_210115_155325/146539783/0_62406	CM010576.1	8288731	8291887
m54284U_210114_191447/133104743/0_62488	CM010576.1	8309527	8310835
m54284U_210115_155325/47908828/0_32061	CM010576.1	8345038	8346048
m54284U_210114_191447/143723096/0_74552	CM010576.1	8398491	8399433
m54284U_210114_191447/100205131/38204_58058	CM010576.1	8403612	8403719
m54284U_210115_155325/85003055/97438_121323	CM010576.1	8406781	8408504
m54284U_210115_155325/67962718/98351_126999	CM010576.1	8491908	8492206
m54284U_210114_191447/165283721/0_85383	CM010576.1	8533816	8534482
m54284U_210115_155325/149752513/10497_63156	CM010576.1	8535707	8536905
m54284U_210114_191447/165283721/85426_135028	CM010576.1	8535708	8536367
m54284U_210114_191447/67962991/0_66212	CM010576.1	8537685	8538454
m54284U_210114_191447/28967069/39506_74056	CM010576.1	8547584	8548621
m54284U_210114_191447/89194866/0_48810	CM010576.1	8556314	8556350
m54284U_210114_191447/42795336/0_37826	CM010576.1	8573422	8573687
m54284U_210115_155325/119079759/9293_138117	CM010576.1	8605733	8605758
m54284U_210115_155325/177014469/70755_107795	CM010576.1	8644420	8645520
m54284U_210115_155325/177014469/0_70712	CM010576.1	8644420	8645520
m54284U_210115_155325/131664682/0_59233	CM010576.1	8655762	8657954
m54284U_210114_191447/10289226/69959_110574	CM010576.1	8694804	8695698
m54284U_210114_191447/10289226/110620_136411	CM010576.1	8694804	8695698
m54284U_210114_191447/3999374/40932_128552	CM010576.1	8759735	8759893
m54284U_210114_191447/58393612/0_65048	CM010576.1	8787865	8788131
m54284U_210115_155325/179571023/0_34559	CM010576.1	8836263	8838224
m54284U_210114_191447/176751343/44394_76342	CM010576.1	8844711	8847272
m54284U_210115_155325/17303130/48973_65552	CM010576.1	8856556	8857200
m54284U_210115_155325/17303130/12231_48920	CM010576.1	8856665	8857200
m54284U_210115_155325/125175474/122977_138155	CM010576.1	8896643	8897010
m54284U_210114_191447/124979888/0_30919	CM010576.1	8964268	8964915
m54284U_210115_155325/148439306/0_36263	CM010576.1	9092683	9092745
m54284U_210114_191447/22611478/0_73826	CM010576.1	9161228	9166627
m54284U_210114_191447/71764262/7887_39107	CM010576.1	9205483	9205501
m54284U_210115_155325/102959948/0_59868	CM010576.1	9249739	9250103
m54284U_210115_155325/91752048/0_15899	CM010576.1	9257632	9257642
m54284U_210114_191447/101908958/36201_92654	CM010576.1	9330554	9330716
m54284U_210115_155325/37095111/10601_40672	CM010576.1	9459776	9460018
m54284U_210115_155325/136512872/0_50435	CM010576.1	9555454	9555484
m54284U_210114_191447/73009760/0_87771	CM010576.1	9818828	9820070
m54284U_210114_191447/73009760/87821_109491	CM010576.1	9819826	9820070
m54284U_210115_155325/112919309/45705_81425	CM010576.1	9969070	9969106
m54284U_210114_191447/166658145/30813_52136	CM010576.1	9970955	9971664
m54284U_210114_191447/166658145/0_30765	CM010576.1	9971858	9972647
m54284U_210114_191447/155584360/39789_50657	CM010576.1	9981087	9982128
m54284U_210115_155325/31654863/62339_101162	CM010576.1	10069661	10070469
m54284U_210114_191447/10027784/0_71772	CM010576.1	10310590	10313243
m54284U_210114_191447/173935027/97727_147934	CM010576.1	10478759	10480630
m54284U_210115_155325/99484174/68110_104005	CM010576.1	10581952	10582149
m54284U_210114_191447/6949096/0_28076	CM010576.1	10683852	10684313
m54284U_210114_191447/62261842/0_26203	CM010576.1	10990969	10992932
m54284U_210115_155325/143655147/0_29711	CM010576.1	11003659	11004390
m54284U_210115_155325/113510468/20343_58564	CM010576.1	11046998	11047694
m54284U_210115_155325/119211934/114193_141046	CM010576.1	11066664	11069127
m54284U_210114_191447/122422722/119188_164560	CM010576.1	11086395	11089610
m54284U_210114_191447/20381839/187236_204840	CM010576.1	11124577	11125898
m54284U_210114_191447/20381839/170846_187192	CM010576.1	11124577	11125901
m54284U_210115_155325/14352429/0_126062	CM010576.1	11158276	11158371
m54284U_210114_191447/177932546/0_68616	CM010576.1	11334150	11334270
m54284U_210115_155325/99288643/13989_45426	CM010576.1	11357990	11358350
m54284U_210114_191447/167446972/66454_92725	CM010576.1	11376785	11377215
m54284U_210114_191447/167446972/0_66405	CM010576.1	11377215	11377631
m54284U_210114_191447/171116688/0_61909	CM010576.1	11529867	11530764
m54284U_210114_191447/124911626/67069_134151	CM010576.1	11635332	11635824
m54284U_210114_191447/124911626/8291_67021	CM010576.1	11635332	11636143
m54284U_210114_191447/124911626/134198_179346	CM010576.1	11636176	11639858
m54284U_210114_191447/163907531/0_37724	CM010576.1	11738513	11741980
m54284U_210115_155325/113639899/15667_83244	CM010576.1	11990456	11990515
m54284U_210115_155325/110625578/0_39660	CM010576.1	12085731	12087652
m54284U_210115_155325/153290290/0_40266	CM010576.1	12113845	12113875
m54284U_210115_155325/40306914/0_36521	CM010576.1	12142156	12142749
m54284U_210114_191447/13961773/0_38508	CM010576.1	12263652	12263948
m54284U_210114_191447/127271473/0_13580	CM010576.1	12394029	12395354
m54284U_210114_191447/35391410/0_33676	CM010576.1	12468082	12470437
m54284U_210114_191447/137887964/60782_113313	CM010576.1	12518281	12519838
m54284U_210114_191447/47188521/14673_57803	CM010576.1	12687167	12688455
m54284U_210115_155325/135924202/0_29428	CM010576.1	12793504	12795938
m54284U_210114_191447/149686747/0_39628	CM010576.1	12947404	12948078
m54284U_210115_155325/159975132/6988_48907	CM010576.1	13073470	13073736
m54284U_210115_155325/156501505/41616_90963	CM010576.1	13079850	13080640
m54284U_210114_191447/39846204/0_60907	CM010576.1	13197989	13198649
m54284U_210114_191447/177407837/11322_48523	CM010576.1	13197989	13198649
m54284U_210115_155325/42076197/0_23744	CM010576.1	13217585	13222324
m54284U_210114_191447/136250073/0_38900	CM010576.1	13266237	13267102
m54284U_210114_191447/138413169/163803_196839	CM010576.1	13274154	13275469
m54284U_210114_191447/89260837/30632_54886	CM010576.1	13533364	13534402
m54284U_210114_191447/89260837/54932_78071	CM010576.1	13534402	13535301
m54284U_210115_155325/39321697/74062_90443	CM010576.1	13536245	13538692
